component,k,component_type,scale_minutes,scale_days,repeat_length,final_normalized_entropy,shuffle_normalized_entropy,gaussian_normalized_entropy,entropy_gap_shuffle,entropy_gap_gaussian
D_01,1,detail,10,0.006944444444444444,1,0.9905144523650508,0.990783997992847,0.9907212811839071,0.0002695456277962416,0.00020682881885636384
D_02,2,detail,20,0.013888888888888888,2,0.9904641531418154,0.9907309987335128,0.9907595883745006,0.00026684559169742883,0.0002954352326852705
D_03,3,detail,40,0.027777777777777776,4,0.9903129981030846,0.9910613581667636,0.9905479693985046,0.0007483600636789545,0.00023497129542005002
D_04,4,detail,80,0.05555555555555555,8,0.9901576737002414,0.9906993307803148,0.9909819210135997,0.0005416570800733655,0.0008242473133582839
D_05,5,detail,160,0.1111111111111111,16,0.9910383283938843,0.9908601901582919,0.9909374345419101,-0.0001781382355924288,-0.0001008938519742042
D_06,6,detail,320,0.2222222222222222,32,0.9894543018698768,0.9913849038345317,0.9907195772954908,0.0019306019646548878,0.0012652754256139431
D_07,7,detail,640,0.4444444444444444,64,0.9905835332178905,0.9891153544649152,0.9921396807088896,-0.0014681787529753354,0.0015561474909990825
D_08,8,detail,1280,0.8888888888888888,128,0.9896900699131496,0.9915554782064869,0.989464100267844,0.0018654082933373672,-0.00022596964530552377
D_09,9,detail,2560,1.7777777777777777,256,0.9919879713342726,0.991219683535517,0.9902638951728522,-0.0007682877987555958,-0.0017240761614204514
D_10,10,detail,5120,3.5555555555555554,512,0.9910953658384442,0.9907994689307217,0.9859993482694811,-0.00029589690772247046,-0.005096017568963052
A_11,11,approximation,10240,7.111111111111111,2048,0.998564063534312,0.9939734307747894,0.9984442694236344,-0.00459063275952265,-0.00011979411067764012
D_11,11,detail,10240,7.111111111111111,1024,0.9886595540022752,0.9917612870526192,0.9882793481221569,0.003101733050344002,-0.0003802058801183339
