series,component,k,component_type,scale_minutes,scale_days,repeat_length,effective_n,ordinal_windows,permutation_entropy,normalized_entropy
final,D_01,1,detail,10,0.006944444444444444,1,735232,735230,1.774763649432321,0.9905144523650508
final,D_02,2,detail,20,0.013888888888888888,2,367616,367614,1.774673525322794,0.9904641531418154
final,D_03,3,detail,40,0.027777777777777776,4,183808,183806,1.7744026918508267,0.9903129981030846
final,D_04,4,detail,80,0.05555555555555555,8,91904,91902,1.7741243878812303,0.9901576737002414
final,D_05,5,detail,160,0.1111111111111111,16,45952,45950,1.775702309267685,0.9910383283938843
final,D_06,6,detail,320,0.2222222222222222,32,22976,22974,1.7728641147437862,0.9894543018698768
final,D_07,7,detail,640,0.4444444444444444,64,11488,11486,1.7748874257045388,0.9905835332178905
final,D_08,8,detail,1280,0.8888888888888888,128,5744,5742,1.7732865543678615,0.9896900699131496
final,D_09,9,detail,2560,1.7777777777777777,256,2872,2870,1.7774038409985113,0.9919879713342726
final,D_10,10,detail,5120,3.5555555555555554,512,1436,1434,1.7758045066490757,0.9910953658384442
final,D_11,11,detail,10240,7.111111111111111,1024,718,716,1.7714401177263621,0.9886595540022752
final,A_11,11,approximation,10240,7.111111111111111,2048,359,357,1.7891866164684487,0.998564063534312
shuffle,D_01,1,detail,10,0.006944444444444444,1,735232,735230,1.7752466103633138,0.990783997992847
shuffle,D_02,2,detail,20,0.013888888888888888,2,367616,367614,1.7751516484385397,0.9907309987335128
shuffle,D_03,3,detail,40,0.027777777777777776,4,183808,183806,1.7757435730813156,0.9910613581667636
shuffle,D_04,4,detail,80,0.05555555555555555,8,91904,91902,1.775094907083526,0.9906993307803148
shuffle,D_05,5,detail,160,0.1111111111111111,16,45952,45950,1.7753831283972306,0.9908601901582919
shuffle,D_06,6,detail,320,0.2222222222222222,32,22976,22974,1.776323289095267,0.9913849038345317
shuffle,D_07,7,detail,640,0.4444444444444444,64,11488,11486,1.7722568025213759,0.9891153544649152
shuffle,D_08,8,detail,1280,0.8888888888888888,128,5744,5742,1.7766289173414251,0.9915554782064869
shuffle,D_09,9,detail,2560,1.7777777777777777,256,2872,2870,1.7760272540599986,0.991219683535517
shuffle,D_10,10,detail,5120,3.5555555555555554,512,1436,1434,1.7752743305627485,0.9907994689307217
shuffle,D_11,11,detail,10240,7.111111111111111,1024,718,716,1.7769976772903338,0.9917612870526192
shuffle,A_11,11,approximation,10240,7.111111111111111,2048,359,357,1.7809613067518255,0.9939734307747894
gaussian,D_01,1,detail,10,0.006944444444444444,1,735232,735230,1.775134236927016,0.9907212811839071
gaussian,D_02,2,detail,20,0.013888888888888888,2,367616,367614,1.7752028741985015,0.9907595883745006
gaussian,D_03,3,detail,40,0.027777777777777776,4,183808,183806,1.7748237038943924,0.9905479693985046
gaussian,D_04,4,detail,80,0.05555555555555555,8,91904,91902,1.7756012408099258,0.9909819210135997
gaussian,D_05,5,detail,160,0.1111111111111111,16,45952,45950,1.7755215317530233,0.9909374345419101
gaussian,D_06,6,detail,320,0.2222222222222222,32,22976,22974,1.7751311839688115,0.9907195772954908
gaussian,D_07,7,detail,640,0.4444444444444444,64,11488,11486,1.777675667707052,0.9921396807088896
gaussian,D_08,8,detail,1280,0.8888888888888888,128,5744,5742,1.7728816711161273,0.989464100267844
gaussian,D_09,9,detail,2560,1.7777777777777777,256,2872,2870,1.774314711210616,0.9902638951728522
gaussian,D_10,10,detail,5120,3.5555555555555554,512,1436,1434,1.7666736689145335,0.9859993482694811
gaussian,D_11,11,detail,10240,7.111111111111111,1024,718,716,1.770758880240404,0.9882793481221569
gaussian,A_11,11,approximation,10240,7.111111111111111,2048,359,357,1.7889719742362842,0.9984442694236344
